eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,total_timesteps
1000.0,-423.4121962337663,1160,0.0088403355,0.1274414,5.999013,-0.034995593,14.853949,0.27062249183654785,38,77824,67.80643177899947,77824
1000.0,-419.21204820253166,1158,0.013225453,0.1942871,5.9524503,-0.044284627,7.519314,0.39426785707473755,39,79872,69.57531810299952,79872
1000.0,-413.3176490246914,1156,0.011617477,0.16503906,5.9167285,-0.041926183,6.4150887,0.4668905735015869,40,81920,71.34705624399976,81920
1000.0,-408.66100013253015,1167,0.01664965,0.24482422,5.868727,-0.047970966,9.928972,0.19502973556518555,41,83968,73.10195885999929,83968
1000.0,-403.44995860465116,1163,0.01595057,0.22983399,5.8251123,-0.046891063,7.9176435,0.1488940715789795,42,86016,74.86192094000035,86016
1000.0,-398.8855767727273,1160,0.0124987895,0.18520507,5.8088975,-0.04078697,8.841513,0.3956254720687866,43,88064,76.62750276400038,88064
1000.0,-395.7799884777778,1157,0.014846822,0.2178711,5.771367,-0.042994224,8.869049,0.337824285030365,44,90112,78.39759084899924,90112
1000.0,-392.18445582608706,1150,0.014867107,0.21235351,5.7277136,-0.04560616,6.0768023,0.4522106647491455,45,92160,80.17802754500008,92160
1000.0,-387.84719139361704,1156,0.016137095,0.22983399,5.648701,-0.0494846,5.0547814,0.4468587636947632,46,94208,81.94998242300062,94208
1000.0,-384.10728939583333,1153,0.015763223,0.22626953,5.578371,-0.045816995,4.995909,0.25306499004364014,47,96256,83.72677008199935,96256
1000.0,-379.8814768367347,1158,0.014189358,0.21396485,5.507239,-0.04672027,6.876139,0.32910263538360596,48,98304,85.49557093200019,98304
1000.0,-375.3594528699999,1148,0.011654276,0.1715332,5.451014,-0.037137024,9.136637,0.5101310014724731,49,100352,87.27879454600043,100352
1000.0,-365.37554503,1154,0.016056562,0.22832032,5.3930736,-0.047929153,6.1466694,0.4664921760559082,50,102400,89.05390575899946,102400
1000.0,-356.85712322,1162,0.013778741,0.20214844,5.348233,-0.045920588,5.901946,0.2703319787979126,51,104448,90.81571644900032,104448
1000.0,-349.78871796999994,1154,0.018049013,0.26259765,5.304691,-0.051058333,4.932704,0.25478726625442505,52,106496,92.59026573399933,106496
1000.0,-340.56733497999994,1137,0.019061368,0.2589844,5.242871,-0.050995827,4.968644,0.2628301978111267,53,108544,94.39083393700093,108544
1000.0,-332.40962048,1149,0.016116064,0.23208007,5.172593,-0.048878122,6.7374473,0.19333481788635254,54,110592,96.17349524599922,110592
1000.0,-322.55896329,1154,0.015136314,0.21860352,5.126303,-0.045826722,6.565716,0.21532529592514038,55,112640,97.94769206300043,112640
1000.0,-314.2843728099999,1155,0.019666392,0.27788085,5.0626974,-0.05482194,4.9617476,0.0901944637298584,56,114688,99.72106593399985,114688
1000.0,-307.38105545999997,1152,0.015774865,0.23256835,5.013084,-0.04892828,7.752589,0.14415591955184937,57,116736,101.49782091999987,116736
1000.0,-298.32513852999995,1155,0.016773053,0.2388672,4.9806747,-0.048179723,5.849146,0.5182168781757355,58,118784,103.27126535299976,118784
1000.0,-289.94428784999997,1159,0.021751255,0.30185547,4.9042215,-0.057798624,4.3128753,0.2208249568939209,59,120832,105.03780760799964,120832
1000.0,-281.26446125999996,1129,0.017331693,0.25356445,4.825723,-0.05150344,6.894647,0.2082011103630066,60,122880,106.85123560300053,122880
1000.0,-273.74867803999996,1134,0.017952755,0.24829102,4.7629404,-0.04898594,9.822591,0.10465693473815918,61,124928,108.65747111000019,124928
1000.0,-265.57875295,1154,0.021106806,0.29350585,4.6740828,-0.05535729,6.5678506,0.24357497692108154,62,126976,110.43218463999983,126976
1000.0,-251.65866946000003,1157,0.018013295,0.25102538,4.5996523,-0.04750269,11.620409,0.18650567531585693,63,129024,112.201650686,129024
1000.0,-241.50784562999996,1160,0.019870443,0.2770996,4.5471377,-0.052176755,7.8841066,0.21805483102798462,64,131072,113.96736894599962,131072
