# {"t_start": 1557708010.7510557, "env_id": "LunarLanderContinuous-v2"} 
r,l,t
-76.217597,97,72.627019
-74.227726,81,72.817286
-97.483955,93,73.043429
-143.684977,91,73.267959
-46.134371,112,73.55722
-324.060736,82,73.757623
-61.670662,69,73.933917
-110.991598,80,74.282758
-311.917923,100,74.548112
-49.729343,80,74.739667
-69.98379,118,75.043879
-335.80592,97,75.301463
-300.448416,103,75.583845
-188.263315,105,75.852157
-385.689103,110,76.135374
-340.925539,126,76.466375
-155.075091,78,76.655327
-72.991486,119,76.971627
-87.191077,101,77.2158
-437.783298,183,77.705712
-384.139154,135,78.064712
-271.071453,107,78.334522
-495.142648,154,78.735345
-129.378005,84,78.932687
-149.997786,131,79.262122
-290.924384,128,79.716996
-95.345336,155,80.120415
-553.563232,156,80.525176
-51.244183,101,80.772046
-247.13415,146,81.136304
-480.600712,115,81.421233
-68.500885,161,81.835848
-108.049784,110,82.113357
-77.955467,127,82.431659
-365.933552,108,82.710446
-172.349828,127,83.026536
-89.56884,123,83.333829
-72.822843,151,83.732357
-220.395549,145,84.128755
-218.765279,165,84.603598
-110.102191,80,84.802506
-274.969641,102,85.194862
-70.155317,114,85.513219
-92.03578,82,85.710129
-300.976354,88,85.928425
-156.514303,136,86.301182
-95.158821,87,86.517345
-533.441035,131,86.866311
-125.21128,154,87.275455
-79.292648,71,87.444881
-306.831812,104,87.716303
-69.043815,71,87.888653
-67.492984,90,88.108886
-423.598895,164,88.551272
-213.848244,126,88.87022
-274.281515,178,89.37222
-69.044068,96,89.613575
-88.768916,181,90.110689
-71.528406,77,90.297011
-146.559358,144,90.83197
-474.402666,111,91.121582
-83.186879,108,91.398597
-83.998723,126,91.736442
-160.358131,77,91.927924
-285.217588,250,92.711727
-395.377423,155,93.137846
-89.052521,162,93.604366
-215.620965,133,93.980236
-457.958327,92,94.216635
-237.017651,180,94.748683
-123.617191,113,95.044163
-329.832808,96,95.291871
-397.291587,94,95.530227
-236.115771,200,96.138532
-111.627907,194,96.852382
-368.918836,110,97.154035
-298.631317,161,97.601967
-43.649804,87,97.816027
-523.921004,156,98.24799
-155.73144,115,98.550046
-430.898729,184,99.087236
-202.221624,101,99.351341
-154.224665,106,99.620415
-63.116383,87,99.854662
-227.197277,100,100.104454
-257.262842,148,100.502376
-61.031605,137,100.867568
-365.460065,162,101.324894
-93.751601,105,101.595105
-443.232602,146,102.108041
-617.976602,153,102.520308
-350.182148,151,102.921355
-218.257818,126,103.244352
-86.214329,75,103.44001
-210.34214,120,103.741971
-58.031728,99,103.986031
-301.907593,96,104.224122
-310.497199,94,104.459191
-14.000997,95,104.697982
-222.233727,82,104.902135
-326.139641,117,105.196972
-78.898041,156,105.623365
-194.590269,130,105.968824
-539.464953,121,106.257103
-56.204005,187,106.780482
-198.62746,110,107.066754
-444.529748,134,107.565686
-88.662306,73,107.747939
-157.871487,123,108.083776
-270.250617,103,108.357929
-290.777592,112,108.648057
-69.9586,89,108.879011
-182.384249,106,109.159539
-123.351023,73,109.338665
-78.066546,89,109.574284
-175.511498,103,109.836982
-554.234838,115,110.142884
-94.798242,95,110.383534
-74.816478,65,110.539859
-29.316352,140,110.932513
-287.350159,125,111.265301
-253.968998,106,111.539677
-52.644775,81,111.739937
-96.850659,96,111.987399
-204.399796,148,112.384189
-255.568832,111,112.663266
-408.364037,153,113.210743
-234.859296,128,113.541266
-34.938772,82,113.750694
-211.656933,100,114.012403
-221.432888,130,114.36412
-38.562702,86,114.57787
-257.887835,127,114.918152
-26.718203,72,115.104739
-207.06494,215,115.790528
-181.959547,107,116.065424
-70.987036,111,116.359215
-172.306653,114,116.671041
-235.095101,62,116.825835
-103.421057,148,117.258799
-208.58831,106,117.543916
-405.903583,97,117.79309
-374.744663,92,118.028226
-113.760167,128,118.382192
-23.906831,112,118.82088
-353.531113,88,119.042888
-312.458471,102,119.290732
-453.550735,121,119.603707
-349.826573,146,119.992448
-115.198664,105,120.274552
-236.295282,144,120.651069
-155.503243,114,120.959048
-159.819233,106,121.231908
-287.607929,125,121.566251
-133.429228,119,121.890027
-420.096165,152,122.293187
-175.735916,102,122.554778
-199.359014,133,122.915439
-153.73619,105,123.181139
-274.466964,124,123.492932
-354.264652,135,123.841203
-353.542225,141,124.349487
-346.936826,85,124.564502
-76.166352,92,124.793483
-430.720332,106,125.059692
17.543902,93,125.295406
-509.012022,97,125.544244
-117.667342,110,125.834991
-50.850158,92,126.063462
-103.192961,88,126.28757
-179.78303,110,126.572528
-90.436946,110,126.860797
-293.047358,85,127.068511
-344.654778,139,127.441717
-366.128538,112,127.744044
-390.792656,77,127.935553
-521.715229,144,128.325188
-386.78071,91,128.553735
-177.070534,106,128.829798
-143.399875,104,129.103294
-309.749333,91,129.341585
-217.415249,161,129.933309
-253.861602,86,130.150682
-348.862208,121,130.479588
-65.372272,71,130.665939
-240.613894,84,130.888289
-261.706656,96,131.145546
-540.346392,139,131.527246
-201.409317,97,131.778951
-535.114956,106,132.056482
-358.297577,96,132.308332
-25.465706,149,132.710038
-501.767111,139,133.087763
-233.063522,105,133.359652
-315.1384,96,133.605764
-51.38409,109,133.888749
-489.713805,172,134.377186
-434.447224,121,134.695818
-344.29264,112,134.998898
-401.246849,148,135.535775
-227.185928,125,135.862135
-109.517075,74,136.050293
-135.289648,115,136.328852
-83.373701,83,136.530133
-212.908232,79,136.731798
-131.090931,88,136.957496
-389.304958,118,137.276706
-253.613248,91,137.508532
-430.876796,99,137.762695
-18.828551,82,137.963433
-261.813983,117,138.254712
-316.375323,79,138.447109
-99.837218,108,138.722139
-74.617201,225,139.387154
-140.03763,179,139.886435
-296.27511,112,140.184311
-228.862136,124,140.526637
-103.291109,142,141.05634
-280.917954,101,141.321459
-496.406358,96,141.567111
-203.611198,65,141.727385
-68.960584,78,141.926731
-490.174994,147,142.331876
-118.694519,81,142.54214
-100.938978,132,142.895643
-102.220568,79,143.09431
-368.409206,122,143.421427
-35.984773,87,143.635395
-4.113625,1000,150.780105
-234.508558,126,151.117737
-247.367485,141,151.490861
-123.326676,71,151.659448
-424.716045,119,151.987127
-61.367757,77,152.182489
-187.825536,131,152.528878
-109.693876,97,152.77578
-175.370306,66,152.940284
-98.499043,105,153.20532
-115.137339,89,153.431383
-80.653338,87,153.652459
-119.229304,130,154.000316
-204.02302,111,154.290052
-273.365956,95,154.529063
-27.613282,75,154.715827
-314.98826,126,155.042409
-344.588824,149,155.448992
-231.605045,99,155.713965
-82.86986,78,155.912773
-178.858872,79,156.252301
-92.802891,93,156.489583
-66.35043,151,156.89758
-367.999794,109,157.179156
-154.45898,71,157.359438
-264.995902,94,157.589556
-70.711299,115,157.891605
-72.603501,145,158.262829
-417.065609,120,158.562567
-80.667049,91,158.799423
-261.541716,107,159.075813
-95.727874,75,159.263618
-132.071484,107,159.535112
-428.884095,117,159.839102
-76.904908,104,160.102843
-83.541869,139,160.474896
-124.81588,116,160.781438
-250.829599,105,161.055014
-176.061748,72,161.227963
-370.126709,93,161.60968
-124.299711,105,161.860908
-170.68808,111,162.13723
-104.767434,94,162.371645
-504.389482,100,162.614964
-50.122644,84,162.822972
-338.976363,140,163.188654
-61.72238,132,163.539356
-287.541716,91,163.755337
-442.524229,96,163.995917
-222.82645,74,164.170961
-306.272637,92,164.418224
-305.774951,106,164.686948
-543.323459,90,164.909467
-12.05462,117,165.20397
-212.714742,86,165.417569
-530.182387,95,165.650043
-172.182366,67,165.806648
-246.50292,152,166.200325
-472.325702,136,166.554485
-201.746645,90,166.909238
-360.571184,163,167.355075
-254.070479,90,167.570228
-236.923735,85,167.791957
-33.027316,80,167.998174
-99.556098,86,168.21204
-78.276617,99,168.471517
-79.908722,92,168.701097
-392.727975,93,168.938458
-77.516203,116,169.229958
-173.076641,100,169.480748
-96.98262,110,169.764321
-396.984242,102,170.023263
-128.965841,100,170.283486
-401.10045,85,170.495424
-84.967946,120,170.802172
-93.85818,131,171.140571
-427.250678,93,171.374963
-67.637252,120,171.704233
-68.123876,67,171.866102
-164.423144,135,172.376023
-42.595687,74,172.565802
-281.832223,127,172.904241
-20.547303,116,173.209576
-250.046448,99,173.479842
-151.487241,120,173.7996
-121.299156,136,174.15254
-199.552763,141,174.513769
-293.198991,162,174.955269
-539.773975,136,175.312654
-151.157817,129,175.656226
-201.963983,127,175.986824
-108.864185,75,176.171877
-178.331276,78,176.362267
-81.782124,94,176.600202
-431.104258,90,176.821545
16.118246,84,177.030016
-376.158376,78,177.216125
-367.464974,108,177.485731
-141.889242,71,177.794107
-240.43826,96,178.028007
-368.39565,145,178.423489
-428.249683,145,178.814736
-417.313515,76,179.001645
-243.160358,94,179.241309
-382.251862,137,179.623531
-164.475277,116,179.927049
-603.059581,114,180.218741
-122.901415,130,180.557548
-85.062387,153,180.970193
-109.41765,94,181.219497
-96.356482,88,181.437857
-203.024247,134,181.80734
-127.168562,81,182.012435
-335.011957,105,182.276144
-104.843034,96,182.516394
-439.487801,160,182.961056
-221.89926,95,183.347919
-26.31898,72,183.525102
-87.027547,96,183.77734
-303.091073,112,184.062827
-416.563642,164,184.515673
-199.626843,149,184.939632
-372.034396,91,185.174604
-205.063461,95,185.419762
-106.241629,104,185.68717
-446.096479,139,186.065396
-324.79572,140,186.444361
-89.47521,76,186.625407
-263.609838,127,186.982269
-130.996199,100,187.236924
-401.585175,116,187.544946
-212.909931,113,187.851742
-117.87237,76,188.037191
-68.141181,137,188.397836
-127.97801,79,188.730597
-58.517635,68,188.897903
-106.922671,77,189.088612
-394.849133,88,189.314734
-306.924894,78,189.516338
-93.937576,73,189.701777
-253.859089,94,189.943409
-376.078217,88,190.162266
-241.649887,92,190.398906
-355.52491,71,190.57865
-103.381706,127,190.909229
-281.937496,91,191.137107
-140.39854,88,191.349645
-532.466467,139,191.70715
-37.438887,115,192.00254
-207.327723,107,192.282346
-223.406962,164,192.732569
-244.439994,130,193.076773
-220.710444,62,193.226254
-186.974463,109,193.511351
-99.975415,65,193.673326
-477.214554,106,193.936806
-311.902466,91,194.319524
25.062474,70,194.492927
-136.100368,86,194.712261
-79.187902,77,194.913713
-384.22088,91,195.145473
-80.373995,82,195.35634
-111.782582,81,195.565744
-231.824853,106,195.835936
-221.559923,87,196.050357
-78.541191,78,196.246083
-293.114475,92,196.470238
-75.538451,76,196.653852
-107.982266,108,196.939696
-417.945562,88,197.156395
-148.100696,96,197.392738
