# {"t_start": 1557699074.159197, "env_id": "Pendulum-v0"} 
r,l,t
-1773.585474,200,4.591398
-1444.525982,200,4.955779
-1313.410038,200,5.31711
-1131.607892,200,5.668324
-851.285249,200,6.018471
-1073.996052,200,6.33736
-967.126399,200,6.710075
-1071.538473,200,7.048946
-1243.952371,200,7.409305
-1371.186594,200,7.737285
-1604.068719,200,8.296161
-873.539991,200,8.651699
-1614.43535,200,9.005412
-801.56962,200,9.355531
-1510.276595,200,9.694144
-1566.72322,200,10.037979
-1505.09828,200,10.374295
-1094.853079,200,10.713932
-1273.931156,200,11.046355
-1203.22875,200,11.401309
-779.627683,200,11.880831
-1747.630541,200,12.214966
-1236.105155,200,12.609418
-761.754788,200,13.008889
-990.099977,200,13.344999
-864.103357,200,13.697999
-1194.661793,200,14.026916
-871.425892,200,14.348154
-1311.573611,200,14.730379
-1081.539678,200,15.072647
-1831.810968,200,15.573614
-854.930738,200,15.895264
-841.626929,200,16.240986
-867.325374,200,16.587131
-1073.095451,200,16.944252
-1414.89634,200,17.276076
-1447.010303,200,17.624449
-1002.693202,200,17.975933
-1320.291554,200,18.301448
-857.919085,200,18.626525
-1493.644518,200,19.132761
-791.31847,200,19.487691
-1085.123404,200,19.856787
-1178.996301,200,20.191492
-1658.025577,200,20.538737
-1028.712626,200,20.882172
-1583.052647,200,21.218643
-895.498796,200,21.547448
-1473.162067,200,21.895877
-1359.677107,200,22.227965
-1247.785639,200,22.578673
-1237.681684,200,23.067953
-967.815693,200,23.428934
-1309.355303,200,23.786511
-1589.600385,200,24.146906
-751.409752,200,24.485878
-912.537544,200,24.809153
-925.736258,200,25.166494
-1800.996603,200,25.478781
-1016.249953,200,25.828153
-920.74824,200,26.153091
-1068.216012,200,26.632742
-1704.903176,200,26.971851
-1336.234808,200,27.318478
-1163.306064,200,27.649348
-864.576545,200,27.980883
-1683.346258,200,28.318714
-1430.086109,200,28.662128
-1212.8712,200,29.019978
-967.43273,200,29.358276
-1195.08664,200,29.71252
-1579.071121,200,30.189349
-897.64081,200,30.513172
-1148.409516,200,30.847373
