# {"t_start": 1557707992.0223286, "env_id": "LunarLanderContinuous-v2"} 
r,l,t
-91.388614,102,91.120586
-159.310443,177,91.750988
-301.148873,98,92.000235
-318.520505,150,92.42637
-281.495462,99,92.698311
-231.624274,108,92.97545
-117.984284,96,93.23151
-298.675784,97,93.488199
-459.793609,200,94.081996
-58.836699,94,94.316213
-269.835812,164,94.779363
-252.478054,126,95.111406
-266.118485,109,95.390682
-345.659981,82,95.59066
-19.801826,105,95.857397
-454.896329,162,96.316751
-86.598413,115,96.613154
-257.225065,172,97.090828
-326.921065,126,97.560314
-393.526785,125,97.889222
-370.305959,155,98.31812
-285.994566,180,98.829748
-292.314808,93,99.064204
-249.025562,210,99.695279
-189.302302,95,99.945755
-131.951025,133,100.316662
-457.45165,141,100.697228
-473.994341,140,101.077207
-417.457313,181,101.59993
-193.555254,145,101.995329
8.894734,90,102.230581
-435.66674,135,102.598774
-330.673801,145,103.014839
-123.052849,131,103.513994
-225.726851,127,103.852219
-42.557468,106,104.140026
-86.351555,137,104.522336
-548.632648,160,104.972857
-299.041996,159,105.431718
-260.211807,240,106.219962
-473.057476,179,106.738485
-316.748919,115,107.039733
-179.991433,225,107.73276
-188.054817,203,108.35139
-339.144915,185,108.884704
-163.028913,99,109.276058
-333.788245,116,109.589903
-43.976953,128,109.943811
-161.28656,97,110.196429
-390.724454,88,110.432539
-244.572817,103,110.700116
-190.717138,207,111.364389
-156.43855,181,111.886463
-606.300154,149,112.305482
-325.776916,153,112.729739
-128.059912,87,112.948366
-566.827481,168,113.430872
-312.886285,198,114.014543
-255.40399,116,114.331981
-261.895261,147,114.757909
-130.581799,121,115.228332
-54.075496,120,115.559247
-66.225826,108,115.850347
-297.398658,93,116.09142
-66.091748,92,116.317825
-480.09653,131,116.68083
-194.955588,97,116.934595
-306.601182,107,117.229183
-118.791569,125,117.56367
-517.129599,119,117.887669
-372.498194,134,118.244876
-159.767535,114,118.553337
-238.07473,102,118.829698
-154.566878,104,119.106184
-429.755465,91,119.350413
-238.516378,142,119.736829
-391.381526,200,120.342052
-320.254207,163,120.932505
-145.988457,89,121.158741
-304.76179,195,121.714005
-88.987975,105,121.981281
-73.574116,94,122.226225
-445.988464,135,122.586201
-21.573208,111,122.874545
-253.577367,103,123.145387
-103.047388,167,123.633249
-307.120306,116,123.946419
-336.467451,253,124.767118
-521.011427,164,125.241146
-56.567563,117,125.553527
-248.555711,93,125.805673
-317.809909,94,126.059154
-416.791962,177,126.59014
-314.542407,146,127.132772
-413.006701,163,127.585921
-377.341367,118,127.90169
-392.106585,90,128.134665
-72.963465,84,128.350727
-264.500265,125,128.688795
-285.806318,103,128.966285
-371.456829,118,129.285508
-361.678404,127,129.633501
-207.849228,132,129.998072
-174.047085,102,130.288554
-84.075713,133,130.659745
-408.119031,137,131.030848
-286.246584,165,131.515486
-257.467355,171,132.005341
-290.703267,150,132.56232
-529.552732,137,132.925929
-270.301366,163,133.391062
-303.249076,107,133.678381
-446.786678,119,133.996503
-310.311213,159,134.441943
-368.849587,143,134.822495
-197.139778,231,135.498971
-91.921349,242,136.224421
-245.117507,95,136.461721
-373.651538,96,136.701276
-442.844116,102,136.954765
-434.77434,164,137.396932
-150.571164,135,137.743868
-376.257726,121,138.053927
-279.500323,132,138.53954
-543.431136,154,138.947206
-247.177764,118,139.253084
-489.793575,100,139.503814
-189.186317,108,139.771396
-136.535303,232,140.491931
-428.614144,97,140.735318
-332.899201,155,141.164432
-145.637548,147,141.553752
-132.124427,133,141.920436
-303.51423,113,142.217092
-48.497856,136,142.598405
-448.761955,234,143.344421
-184.626283,139,143.729363
-459.819782,102,144.126814
-75.31676,117,144.437439
-307.17682,89,144.674029
-88.883677,75,144.862474
-127.76893,109,145.154882
-243.830305,94,145.394614
-279.558371,140,145.779707
-173.95925,86,146.003957
-351.976573,150,146.425783
-183.012772,115,146.724569
-391.012094,133,147.084577
