% time spent exploring,episodes,mean 100 episode reward,steps
98,5,1075.0,785
97,10,1155.6,1577
95,15,1257.1,2791
94,20,1157.9,3357
91,25,1191.7,4511
89,30,1313.8,5925
86,35,1435.3,7467
85,40,1382.1,8201
81,45,1429.5,10159
78,50,1469.4,12167
75,55,1509.3,13791
71,60,1594.9,16187
68,65,1637.5,17839
63,70,1681.2,20339
62,75,1716.2,21209
60,80,1691.1,21979
59,85,1683.3,22819
57,90,1678.7,23827
56,95,1661.7,24293
53,100,1662.6,26081
51,105,1736.0,27253
44,110,1783.0,30967
41,115,1826.0,32981
33,120,1879.0,37355
26,125,1945.0,41407
19,130,1986.0,46471
19,135,1996.0,48343
19,140,2036.0,49529
