% time spent exploring,episodes,mean 100 episode reward,steps
98,5,1075.0,785
97,10,1155.6,1577
95,15,1257.1,2791
94,20,1157.9,3357
91,25,1191.7,4511
90,30,1248.3,5445
88,35,1250.0,6397
87,40,1282.1,7195
85,45,1318.2,8175
83,50,1367.3,9447
81,55,1366.7,10141
80,60,1381.4,11147
78,65,1378.1,12145
75,70,1418.8,13723
73,75,1452.7,14929
70,80,1470.9,16857
68,85,1471.4,17767
67,90,1476.4,18363
64,95,1508.5,19937
62,100,1528.3,21209
60,105,1565.0,22335
56,110,1620.0,24481
53,115,1681.0,26019
52,120,1721.0,26569
50,125,1739.0,27927
48,130,1777.0,29059
41,135,1844.0,33117
34,140,1925.0,36645
28,145,1960.0,40235
