# {"t_start": 1557719748.998806, "env_id": "HalfCheetah-v2"} 
r,l,t
-768.002467,1000,1.764926
-658.536992,1000,2.571887
-540.688788,1000,4.101742
-616.787456,1000,4.864655
-539.23035,1000,6.327084
-477.978565,1000,7.086469
-502.770771,1000,8.488823
-418.357569,1000,9.257455
-375.950343,1000,10.662531
-474.406971,1000,11.431044
-405.360213,1000,12.83576
-311.946624,1000,13.613169
-331.352596,1000,15.022618
-376.39921,1000,15.797328
-446.213805,1000,17.251007
-360.075791,1000,18.041006
-375.115929,1000,19.436848
-379.396809,1000,20.217159
-367.719591,1000,21.620438
-414.284074,1000,22.405567
-395.915109,1000,23.803699
-449.480667,1000,24.581788
-371.029574,1000,25.988283
-338.170125,1000,26.757762
-356.376599,1000,28.145943
-313.603203,1000,28.923107
-249.820583,1000,30.340346
-376.030606,1000,31.115005
-332.684533,1000,32.525225
-307.582595,1000,33.308171
-281.520795,1000,34.723409
-272.982688,1000,35.494674
-266.945873,1000,36.901456
-259.899538,1000,37.693106
-214.371103,1000,39.106442
-238.711686,1000,39.872727
-209.813539,1000,41.294686
-241.179793,1000,42.070494
-218.382973,1000,43.487293
-201.742399,1000,44.259951
-201.674715,1000,45.658111
-165.239222,1000,46.428783
-159.800188,1000,47.167899
-171.201251,1000,48.587941
-139.800815,1000,49.348187
-145.746501,1000,50.789112
-140.947989,1000,51.530195
-150.391235,1000,52.966921
-129.202076,1000,53.718662
-88.890745,1000,55.161529
-155.926959,1000,55.914406
-110.687411,1000,57.360095
-62.692632,1000,58.111611
-137.960451,1000,59.549354
-59.231762,1000,60.309297
-53.909141,1000,61.756983
-26.765388,1000,62.506056
-22.158598,1000,63.99268
-21.405885,1000,64.78378
14.593496,1000,66.251443
16.19888,1000,67.085576
11.478217,1000,68.607259
17.69716,1000,69.460608
9.202037,1000,71.040265
76.211056,1000,71.837641
65.655504,1000,73.397922
44.859184,1000,74.198825
92.89527,1000,75.679534
103.024586,1000,76.486289
133.212906,1000,77.942405
171.995772,1000,78.733102
195.856143,1000,80.210884
169.952881,1000,81.014719
190.974335,1000,82.502539
199.745919,1000,83.300363
246.563746,1000,84.778808
