eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,total_timesteps
1000.0,-668.694739,815,0.008144507,0.115039065,8.4692545,-0.022696044,69.84404,-0.03038954734802246,1,2048,2.511189426999408,2048
1000.0,-602.17179025,855,0.0058792382,0.07392578,8.391829,-0.02174241,50.55699,-0.017173409461975098,2,4096,4.905063109999901,4096
1000.0,-630.2519061666666,862,0.007177487,0.095898435,8.294411,-0.025012413,72.91234,-0.021404147148132324,3,6144,7.28119640299883,6144
1000.0,-613.4597716249999,892,0.0067423196,0.087841794,8.204831,-0.025674054,52.06684,-0.012184619903564453,4,8192,9.576613340999756,8192
1000.0,-620.5648449999999,896,0.0066515976,0.0925293,8.136149,-0.025211211,72.12101,0.015123486518859863,5,10240,11.86096719499983,10240
1000.0,-615.1440929166666,882,0.008085083,0.11611328,8.084977,-0.030428251,45.433693,0.0074198246002197266,6,12288,14.181508231999032,12288
1000.0,-610.5453074999999,891,0.007336615,0.09760742,8.005513,-0.029521417,59.105755,0.020405888557434082,7,14336,16.478596494998783,14336
1000.0,-619.8295734999999,888,0.007949631,0.11235352,7.9345446,-0.032904442,72.34813,-0.058081626892089844,8,16384,18.784283749999304,16384
1000.0,-609.9371427222221,890,0.0087237945,0.12036133,7.8634353,-0.034203295,44.537746,0.05252581834793091,9,18432,21.08502595199934,18432
1000.0,-604.1425006,881,0.010070069,0.14648438,7.7891617,-0.033960957,58.73747,0.04644119739532471,10,20480,23.40900107499874,20480
1000.0,-600.8087075454546,892,0.007880071,0.10444336,7.7311544,-0.030442417,31.496363,0.12451034784317017,11,22528,25.70398368199858,22528
1000.0,-587.6135942916667,891,0.009507125,0.13476562,7.642166,-0.03304482,34.786804,0.035792768001556396,12,24576,28.00055384799998,24576
1000.0,-577.766983923077,888,0.011791569,0.18041992,7.56016,-0.041121658,27.720978,-0.010451078414916992,13,26624,30.30621524199887,26624
1000.0,-568.1319800357143,890,0.008669702,0.121875,7.4969416,-0.0304798,35.801414,0.0838732123374939,14,28672,32.60530827000002,28672
1000.0,-564.8658848333333,866,0.009053884,0.13129883,7.4242506,-0.036524095,27.102789,0.20658951997756958,15,30720,34.9691673239995,30720
1000.0,-557.0133828749999,834,0.00874322,0.12631837,7.3582964,-0.03193301,27.405651,0.12422734498977661,16,32768,37.42350033799994,32768
1000.0,-549.810515117647,807,0.011487668,0.16684571,7.2724648,-0.040443264,26.711712,0.11191117763519287,17,34816,39.95949329099858,34816
1000.0,-539.5507218888889,832,0.008169642,0.1171875,7.211529,-0.029968817,28.279638,0.22637134790420532,18,36864,42.41933058399991,36864
1000.0,-533.9478777368421,834,0.0074541965,0.099121094,7.1728745,-0.027039532,24.86064,0.24628770351409912,19,38912,44.87270015899958,38912
1000.0,-522.3861393,849,0.010118185,0.1508789,7.122032,-0.036310613,24.357214,0.17799842357635498,20,40960,47.28516006599966,40960
1000.0,-512.430877116279,857,0.009118563,0.1309082,7.067067,-0.03370397,27.722965,0.20992153882980347,21,43008,49.674675417998515,43008
1000.0,-505.56122362222214,857,0.011616589,0.16728516,7.008706,-0.038061984,20.018093,0.18815553188323975,22,45056,52.06452182799876,45056
1000.0,-498.10984499999995,846,0.010541142,0.15722656,6.948194,-0.037014753,21.179619,0.26834094524383545,23,47104,54.48611189999974,47104
1000.0,-494.10729100000003,853,0.010067528,0.14614257,6.8797035,-0.03684128,27.065617,0.2808394432067871,24,49152,56.88598317600008,49152
1000.0,-488.4416764313726,858,0.010008186,0.14951172,6.8358054,-0.03854762,22.142126,0.20583570003509521,25,51200,59.2733606139991,51200
1000.0,-485.67951701886795,860,0.012196858,0.1852539,6.8001747,-0.040023383,29.821339,0.2066863775253296,26,53248,61.654777058000036,53248
1000.0,-482.93303645454546,854,0.010073192,0.15126953,6.7675524,-0.034487598,23.78802,0.1811550259590149,27,55296,64.05348402599884,55296
1000.0,-476.48451968421057,866,0.008989455,0.1303711,6.738697,-0.035775386,22.9642,0.19802707433700562,28,57344,66.4176816679992,57344
1000.0,-471.52258047457633,865,0.012075564,0.17783204,6.6862855,-0.041269645,12.662499,0.2891656160354614,29,59392,68.78337772799932,59392
1000.0,-466.84972439344267,851,0.014385322,0.2064453,6.6044846,-0.04642275,12.017055,0.29357075691223145,30,61440,71.18808441699912,61440
1000.0,-462.359027,858,0.011441221,0.16831055,6.539121,-0.040488135,13.272771,0.3904193043708801,31,63488,73.57475160499962,63488
1000.0,-457.5654972153846,850,0.010826721,0.1586914,6.489287,-0.03754314,16.307117,0.2949911952018738,32,65536,75.98360514199885,65536
