% time spent exploring,episodes,mean 100 episode reward,steps
99,5,0.0,779
99,10,-11.1,1774
99,15,-7.1,2769
98,20,-10.5,3653
98,25,-8.3,4648
98,30,-17.2,5366
97,35,-14.7,6361
97,40,-15.4,7345
97,45,-15.9,8288
96,50,-14.3,9283
96,55,-18.5,9961
96,60,-16.9,10921
96,65,-15.6,11916
95,70,-15.9,12807
95,75,-17.6,13759
95,80,-19.0,14631
94,85,-20.2,15442
94,90,-18.0,16437
94,95,-19.1,17285
94,100,-19.2,18254
93,105,-20.0,19186
93,110,-19.0,20181
93,115,-20.0,21050
92,120,-20.0,21962
92,125,-20.0,22848
92,130,-17.0,23843
91,135,-18.0,24750
91,140,-18.0,25717
91,145,-18.0,26670
90,150,-20.0,27572
90,155,-17.0,28567
90,160,-18.0,29531
90,165,-20.0,30463
89,170,-19.0,31370
89,175,-17.0,32365
89,180,-18.0,33080
88,185,-17.0,34037
88,190,-19.0,34932
88,195,-17.0,35845
87,200,-15.0,36840
87,205,-15.0,37821
87,210,-15.0,38766
87,215,-15.0,39688
86,220,-15.0,40527
86,225,-16.0,41447
86,230,-15.0,42392
85,235,-15.0,43246
85,240,-16.0,44120
85,245,-15.0,45115
84,250,-14.0,46024
84,255,-13.0,46910
84,260,-13.0,47807
84,265,-12.0,48764
83,270,-12.0,49672
83,275,-12.0,50654
83,280,-8.0,51574
82,285,-8.0,52532
82,290,-6.0,53475
82,295,-5.0,54470
81,300,-7.0,55197
81,305,-5.0,56192
81,310,-4.0,57032
81,315,-3.0,58006
80,320,-2.0,59001
80,325,-3.0,59720
80,330,-3.0,60715
79,335,-3.0,61665
79,340,0.0,62660
79,345,1.0,63634
78,350,1.0,64422
78,355,0.0,65336
78,360,0.0,66291
78,365,2.0,67116
77,370,3.0,68101
77,375,3.0,69096
77,380,2.0,69972
76,385,1.0,70796
76,390,0.0,71607
76,395,-2.0,72515
75,400,0.0,73510
75,405,1.0,74439
75,410,0.0,75434
75,415,0.0,76426
74,420,1.0,77261
74,425,6.0,78256
74,430,4.0,79079
73,435,4.0,80023
73,440,3.0,80892
73,445,3.0,81847
72,450,4.0,82763
72,455,4.0,83719
72,460,6.0,84636
72,465,4.0,85534
71,470,6.0,86529
71,475,7.0,87473
71,480,5.0,88269
70,485,10.0,89264
70,490,10.0,90132
70,495,9.0,91016
69,500,10.0,92011
69,505,6.0,92823
69,510,5.0,93508
69,515,5.0,94405
68,520,5.0,95381
68,525,1.0,96338
68,530,0.0,97204
67,535,0.0,98017
67,540,0.0,98828
67,545,0.0,99817
67,550,-3.0,100455
66,555,-3.0,101378
66,560,-4.0,102315
66,565,-3.0,103261
65,570,-7.0,104199
65,575,-7.0,105194
65,580,-5.0,106140
65,585,-8.0,107127
64,590,-7.0,108035
64,595,-6.0,108895
64,600,-9.0,109740
63,605,-8.0,110580
63,610,-7.0,111469
63,615,-7.0,112387
62,620,-7.0,113318
62,625,-6.0,114223
62,630,-3.0,115202
62,635,0.0,116197
61,640,-1.0,117152
61,645,1.0,118147
61,650,2.0,118930
60,655,4.0,119890
60,660,5.0,120749
60,665,5.0,121664
59,670,8.0,122583
59,675,8.0,123429
59,680,8.0,124377
59,685,13.0,125372
58,690,13.0,126276
58,695,16.0,127271
58,700,18.0,128055
57,705,20.0,129021
57,710,23.0,130016
57,715,24.0,130997
56,720,24.0,131992
56,725,25.0,132885
56,730,26.0,133872
55,735,26.0,134756
55,740,26.0,135671
55,745,24.0,136666
55,750,24.0,137360
54,755,23.0,138355
54,760,25.0,139278
54,765,26.0,140273
53,770,24.0,141189
53,775,25.0,142114
53,780,26.0,142924
53,785,21.0,143799
52,790,21.0,144732
52,795,20.0,145580
52,800,19.0,146322
51,805,19.0,147191
51,810,18.0,147938
51,815,18.0,148834
51,820,17.0,149621
50,825,19.0,150538
50,830,20.0,151511
50,835,21.0,152477
49,840,21.0,153183
49,845,20.0,154033
49,850,21.0,154999
49,855,19.0,155942
48,860,16.0,156899
48,865,15.0,157714
48,870,16.0,158545
47,875,16.0,159533
47,880,17.0,160500
47,885,18.0,161379
46,890,18.0,162333
46,895,18.0,163180
46,900,18.0,164133
46,905,17.0,164916
45,910,18.0,165911
45,915,20.0,166802
45,920,21.0,167797
44,925,18.0,168682
44,930,16.0,169633
44,935,14.0,170628
44,940,16.0,171299
43,945,14.0,171967
43,950,20.0,172921
43,955,22.0,173916
42,960,22.0,174882
42,965,23.0,175877
42,970,24.0,176659
42,975,19.0,177417
41,980,19.0,178412
41,985,20.0,179298
41,990,19.0,180167
40,995,19.0,181152
40,1000,22.0,182147
40,1005,24.0,183102
39,1010,22.0,184004
39,1015,19.0,184901
39,1020,20.0,185788
38,1025,23.0,186783
38,1030,25.0,187733
38,1035,24.0,188636
38,1040,23.0,189431
37,1045,26.0,190350
37,1050,23.0,191199
37,1055,25.0,192140
36,1060,25.0,192945
36,1065,25.0,193826
36,1070,24.0,194821
36,1075,26.0,195595
35,1080,29.0,196554
35,1085,33.0,197382
35,1090,33.0,198129
35,1095,35.0,198955
34,1100,33.0,199752
34,1105,34.0,200728
34,1110,33.0,201495
33,1115,35.0,202296
33,1120,31.0,203064
33,1125,28.0,203906
33,1130,25.0,204609
32,1135,27.0,205551
32,1140,26.0,206262
32,1145,28.0,207195
32,1150,28.0,208065
31,1155,28.0,209015
31,1160,30.0,209859
31,1165,35.0,210850
30,1170,36.0,211723
30,1175,41.0,212718
30,1180,39.0,213678
29,1185,35.0,214512
29,1190,37.0,215501
29,1195,36.0,216316
29,1200,37.0,217311
28,1205,34.0,218175
28,1210,38.0,219078
28,1215,36.0,219931
27,1220,43.0,220798
27,1225,45.0,221565
27,1230,47.0,222387
27,1235,51.0,223288
26,1240,56.0,224100
26,1245,57.0,224910
26,1250,57.0,225665
26,1255,55.0,226298
25,1260,55.0,227000
25,1265,53.0,227956
25,1270,55.0,228849
24,1275,56.0,229752
24,1280,57.0,230636
24,1285,57.0,231479
24,1290,58.0,232361
23,1295,58.0,233223
23,1300,60.0,234118
23,1305,64.0,235068
23,1310,62.0,235668
22,1315,63.0,236336
22,1320,62.0,237249
22,1325,62.0,238119
21,1330,61.0,238899
21,1335,60.0,239580
21,1340,61.0,240429
21,1345,59.0,241111
20,1350,60.0,241986
20,1355,63.0,242981
20,1360,63.0,243715
20,1365,59.0,244504
19,1370,57.0,245308
19,1375,57.0,246119
19,1380,57.0,247005
19,1385,59.0,247899
18,1390,60.0,248816
18,1395,62.0,249676
18,1400,65.0,250572
17,1405,66.0,251461
17,1410,65.0,252166
17,1415,68.0,253107
17,1420,66.0,253610
16,1425,69.0,254511
16,1430,72.0,255391
16,1435,70.0,256185
16,1440,69.0,257074
15,1445,69.0,257800
15,1450,72.0,258590
15,1455,71.0,259370
14,1460,75.0,260292
14,1465,77.0,261129
14,1470,76.0,261839
14,1475,73.0,262630
13,1480,72.0,263495
13,1485,71.0,264363
13,1490,70.0,265174
13,1495,70.0,265784
12,1500,66.0,266748
12,1505,65.0,267649
12,1510,66.0,268446
12,1515,65.0,269216
11,1520,68.0,270148
11,1525,66.0,270962
11,1530,67.0,271882
10,1535,67.0,272689
10,1540,64.0,273551
10,1545,66.0,274428
10,1550,60.0,275032
9,1555,58.0,275863
9,1560,57.0,276837
9,1565,62.0,277674
9,1570,69.0,278512
8,1575,71.0,279328
8,1580,73.0,280323
8,1585,73.0,281193
7,1590,72.0,282078
